CONTAINER GATE IN,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO,CONTAINER NO,SEAL,SIZE,COMM,WEIGHT,SHIPPER,CY,POD,CELL (deport position),REMARKS,DATE (drop date),VOY (ship code),OPR VSL
1,GAOU2193430,013478,20DC,,30.87,Apectrans,VIMC DV,,,,20-Feb,NB2404S,ONE
2,APTU2129831,009035,20TK,,28.97,Apectrans,VIMC DV,,,,20-Feb,NB2404S,VIMC
3,GAOU2193091,013538,20DC,,29.45,Apectrans,VIMC DV,,,,20-Feb,NB2404S,
4,GAOU6421517,007891,40HC,,31.82,Apectrans,VIMC DV,,,,20-Feb,NB2404S,
5,VNLU2093514,001968,20DC,,31.4,BDL,VIMC DV,,,,16-Feb,NB2404S,
6,VNLU3098001,001969,20DC,,31.14,BDL,VIMC DV,,,,16-Feb,NB2404S,
7,VIMU2300255,A28940782,20DC,,31.3,BDL,VIMC DV,,,,17-Feb,NB2404S,
8,VNLU2092987,001962,20DC,,30.76,BDL,VIMC DV,,,,17-Feb,NB2404S,
9,VNLU2094850,06622,20DC,,30.37,BDL,VIMC DV,,,,17-Feb,NB2404S,
10,VNLU3098906,VFC408394,20DC,,30.6,BDL,VIMC DV,,,,17-Feb,NB2404S,
11,VNLU3097279,07571,20DC,,29.74,BDL,VIMC DV,,,,17-Feb,NB2404S,
12,VNLU3091291,06615,20DC,,31.04,BDL,VIMC DV,,,,18-Feb,NB2404S,
13,VNLU2092591,VMC130046,20DC,,30.9,BDL,VIMC DV,,,,18-Feb,NB2404S,
14,VNLU2093155,VMC130048,20DC,,30.48,BDL,VIMC DV,,,,18-Feb,NB2404S,
15,VNLU3090700,A290011167,20DC,,31.67,BDL,VIMC DV,,,,18-Feb,NB2404S,
16,BISU2841740,A56013146,20DC,,30.99,BDL,VIMC DV,,,,18-Feb,NB2404S,
17,VNLU3090227,A56013178,20DC,,31.28,BDL,VIMC DV,,,,19-Feb,NB2404S,
18,EGHU3106262,TCS0075862,20DC,,29.97,BDL,VIMC DV,,,,19-Feb,NB2404S,
19,VNLU3091840,VMC130034,20DC,,31.73,BDL,VIMC DV,,,,19-Feb,NB2404S,
20,VNLU3091239,VMC130035,20DC,,30.41,BDL,VIMC DV,,,,19-Feb,NB2404S,
21,SEKU5753628,VMC130026,40HC,,29.31,CALOFIC / CONG TY CP VTHH QUOC TE VN(VIMT) ,VIMC DV,,,,19-Feb,NB2404S,
22,VNLU3091286,815776,20DC,,30.81,CONG TY CO PHAN DAU TU TAN BIEN,VIMC DV,,,,18-Feb,NB2404S,
23,SEKU6570935,VTM204657,40HC,,27.65,Cong ty CO PHAN LOGISTICS DONG A,VIMC DV,,,,20-Feb,NB2404S,
24,VIMU6300187,VMC130057,40HC,,15.38,CONG TY TNHH CALOFIC,VIMC DV,,,,17-Feb,NB2404S,
25,VNLU3090572,788141,20DC,,20.36,CONG TY TNHH DICH VU VAN TAI PHUC HUNG,VIMC DV,,,,15-Feb,NB2404S,
26,VNLU2094676,A29037582,20DC,,19.33,CONG TY TNHH DICH VU VAN TAI PHUC HUNG,VIMC DV,,,,15-Feb,NB2404S,
27,VNLU2093710,A29037513,20DC,,31.21,CONG TY TNHH DICH VU VAN TAI PHUC HUNG,VIMC DV,,,,16-Feb,NB2404S,
28,SEKU5755615,GLS1914596,40HC,,32.19,CONG TY TNHH GIAO NHAN VAN TAI VIET DUC,VIMC DV,,,,19-Feb,NB2404S,
29,VNLU3096734,VMC130129,20DC,,30.66,CONG TY TNHH SAN XUAT VA THUONG MAI MINH TAN,VIMC DV,,,,19-Feb,NB2404S,
30,VNLU3097915,VMC125299,20DC,,30.78,CONG TY TNHH SAN XUAT VA THUONG MAI MINH TAN,VIMC DV,,,,19-Feb,NB2404S,
31,VNLU2094845,VMC130033,20DC,,30.56,CONG TY TNHH SAN XUAT VA THUONG MAI MINH TAN,VIMC DV,,,,19-Feb,NB2404S,
32,VNLU3099501,VTM204677,20DC,,31.63,CONG TY TNHH THUONG MAI XUAT NHAP KHAU MTP,VIMC DV,,,,15-Feb,NB2404S,
33,VNLU2091738,A29037402,20DC,,30.7,CONG TY TNHH THUONG MAI XUAT NHAP KHAU MTP,VIMC DV,,,,17-Feb,NB2404S,
34,VNLU2093453,VFX409200,20DC,,31.18,CONG TY TNHH THUONG MAI XUAT NHAP KHAU MTP,VIMC DV,,,,18-Feb,NB2404S,
35,VNLU3092723,VTM2033334,20DC,,30.5,CONG TY TNHH THUONG MAI XUAT NHAP KHAU MTP,VIMC DV,,,,18-Feb,NB2404S,
36,VNLU3093334,A29026084,20DC,,31.08,CONG TY TNHH THUONG MAI XUAT NHAP KHAU MTP,VIMC DV,,,,19-Feb,NB2404S,
37,CAIU4667708,DA3921467,40HC,,6,CONG TY TNHH TIEP VAN LIEN CHAU LUC,VIMC DV,,,,28-Jan,NB2403S,
38,CAIU9323644,5639458,40HC,,31.67,CONG TY TNHH TIEP VAN LIEN CHAU LUC,VIMC DV,,,,17-Feb,NB2404S,
39,CAIU4667837,DA3921468,40HC,,32.3,CONG TY TNHH TIEP VAN LIEN CHAU LUC,VIMC DV,,,,18-Feb,NB2404S,
40,SEKU6570806,VMC125294,40HC,,30.92,CTY TNHH TM VA DV VAN TAI LONG VU,VIMC DV,,,,15-Feb,NB2404S,
41,BISU6820663,VMC091621,40HC,,28.88,DONG A,VIMC DV,,,,19-Feb,NB2404S,
42,SEKU5596067,VMC125300,40HC,,32.04,LONG VU,VIMC DV,,,,15-Feb,NB2404S,
43,SEKU6563941,VMC125295,40HC,,31.8,LONG VU,VIMC DV,,,,15-Feb,NB2404S,
44,BISU6825053,091630,40HC,,31.45,LONG VU,VIMC DV,,,,16-Feb,NB2404S,
45,VNLU3093611,VMC129963,20DC,,30.53,LONG VU,VIMC DV,,,,16-Feb,NB2404S,
46,VNLU2091846,794589,20DC,,31.01,LONG VU,VIMC DV,,,,16-Feb,NB2404S,
47,CAIU4668514,VMC090271,40HC,,32.16,LONG VU,VIMC DV,,,,16-Feb,NB2404S,
48,VNLU3090090,VFC402700,20DC,,30.49,LONG VU,VIMC DV,,,,18-Feb,NB2404S,
49,VNLU3096210,VMC125293,20DC,,12.95,LONG VU,VIMC DV,,,,20-Feb,NB2404S,
50,VNLU3094412,VMC125292,20DC,,30.67,MINH TAN,VIMC DV,,,,19-Feb,NB2404S,
51,VNLU2093427,VMC125290,20DC,,30.73,MINH TAN,VIMC DV,,,,20-Feb,NB2404S,
52,BISU2836682,VMC125285,20DC,,30.69,MINH TAN,VIMC DV,,,,20-Feb,NB2404S,
53,VNLU2093601,827515,20DC,,30.99,MINH TAN,VIMC DV,,,,20-Feb,NB2404S,
54,VNLU3090778,VMC125298,20DC,,30.89,MINH TAN,VIMC DV,,,,20-Feb,NB2404S,
55,VNLU2092267,A29037547,20DC,,31.67,MTP,VIMC DV,,,,17-Feb,NB2404S,
56,VNLU3091938,A29026095,20DC,,31.39,MTP,VIMC DV,,,,18-Feb,NB2404S,
57,VNLU3092940,124410,20DC,,26.9,MTP,VIMC DV,,,,18-Feb,NB2404S,
58,VNLU2093772,A120006155,20DC,,30.66,MTP,VIMC DV,,,,19-Feb,NB2404S,
59,GAOU2113136,A29028942,20DC,,30.43,NGOC CHAU,VIMC DV,,,,17-Feb,NB2404S,
60,SUDU1917945,A29038519,20DC,,31.16,NGOC CHAU,VIMC DV,,,,18-Feb,NB2404S,
61,VNLU3092298,124554,20DC,,30.77,NGOC CHAU,VIMC DV,,,,19-Feb,NB2404S,
62,VNLU3096605,767308,20DC,,30.92,NGOC CHAU,VIMC DV,,,,19-Feb,NB2404S,
63,VNLU3091537,A29035983,20DC,,31.37,PHUC HUNG,VIMC DV,,,,6-Feb,NB2404S,
64,VIMU2300018,A29034760,20DC,,31.44,PHUC HUNG,VIMC DV,,,,7-Feb,NB2404S,
65,MOAU0722700,VFC409860,20DC,,29.9,TAN BIEN,VIMC DV,,,,19-Feb,NB2404S,
66,EMCU3569390,0075916,20DC,,30.29,TAN CANG,VIMC DV,,,,15-Feb,NB2404S,
67,TTNU3962475,0075911,20DC,,29.94,TAN CANG,VIMC DV,,,,17-Feb,NB2404S,
68,TCKU3376327,0075913,20DC,,30.19,TAN CANG,VIMC DV,,,,17-Feb,NB2404S,
69,TTNU3855374,0075864,20DC,,30.07,TAN CANG,VIMC DV,,,,17-Feb,NB2404S,
70,NPLU2217014,000629,20DC,,29.74,TAN CANG,VIMC DV,,,,18-Feb,NB2404S,
71,GLDU3018128,TCS075866,20DC,,29.62,TAN CANG,VIMC DV,,,,19-Feb,NB2404S,
72,TCKU2496842,TCS0075870,20DC,,30.5,TAN CANG,VIMC DV,,,,20-Feb,NB2404S,
73,EISU3754560,TCS0075868,20DC,,30.41,Tan Cang,VIMC DV,,,,19-Feb,NB2404S,
74,TTNU1449165,0075915,20DC,,30.14,TAN CANG SHIPPING JSC ,VIMC DV,,,,15-Feb,NB2404S,
75,CAIU4667694,789717,40HC,,30.61,TIEP VAN DUONG,VIMC DV,,,,17-Feb,NB2404S,
76,SEKU5756118,A56005843,40HC,,30.85,TIEP VAN DUONG,VIMC DV,,,,20-Feb,NB2404S,
77,CAIU8875314,VMC091625,40HC,,30.17,VAN TAI LONG VU,VIMC DV,,,,17-Feb,NB2404S,
78,SEKU5758002,A28883275,40HC,,30.02,VFT QUY NHON,VIMC DV,,,,31-Jan,NB2403S,
79,CAIU4668480,A28883267,40HC,,32.02,VFT quy nhon,VIMC DV,,,,20-Feb,NB2404S,
80,SEKU5755385,VTM204651,40HC,,32.71,VIET DUC ,VIMC DV,,,,19-Feb,NB2404S,
81,VNLU2093793,VMC130116,20DC,,30.38,VIMT,VIMC DV,,,,25-Jan,NB2402S,
82,VNLU2092879,VMC130161,20DC,,30.42,VIMT,VIMC DV,,,,30-Jan,NB2403S,
83,VIMU6300206,A56007767,40HC,,7.49,VIMT,VIMC DV,,,,2-Feb,NB2403S,
84,SEKU5595517,A29037429,40HC,,7.3,VIMT,VIMC DV,,,,2-Feb,NB2403S,
85,VNLU2093263,VTM204622,20DC,,29.46,VIMT,VIMC DV,,,,6-Feb,NB2403S,
86,VNLU3094069,VTM202059,20DC,,29.45,VIMT,VIMC DV,,,,6-Feb,NB2403S,
87,SEKU6583640,664776,40HC,,14.93,VIMT,VIMC DV,,,,7-Feb,NB2404S,
88,SEKU6307620,VMC130077,40HC,,32.26,VIMT,VIMC DV,,,,15-Feb,NB2404S,
89,CAIU9622990,A28971226,40HC,,33.42,VIMT,VIMC DV,,,,15-Feb,NB2404S,
90,SEKU6583296,VMC130076,40HC,,33.5,VIMT,VIMC DV,,,,15-Feb,NB2404S,
91,SEKU6307847,VMC130074,40HC,,32.51,VIMT,VIMC DV,,,,16-Feb,NB2404S,
92,CAIU4667800,VMC130061,40HC,,32.76,VIMT,VIMC DV,,,,16-Feb,NB2404S,
93,SEKU6583948,130063,40HC,,31.97,VIMT,VIMC DV,,,,16-Feb,NB2404S,
94,SEKU6584230,130065,40HC,,31.96,VIMT,VIMC DV,,,,16-Feb,NB2404S,
95,CAIU4668812,VMC130055,40HC,,28.95,VIMT,VIMC DV,,,,17-Feb,NB2404S,
96,CAIU4670759,VMC130054,40HC,,18.5,VIMT,VIMC DV,,,,17-Feb,NB2404S,
97,SEKU5764047,VMC130053,40HC,,24.35,VIMT,VIMC DV,,,,17-Feb,NB2404S,
98,SEKU5579753,VMC130051,40HC,,23.59,VIMT,VIMC DV,,,,17-Feb,NB2404S,
99,SEKU5754368,VMC130052,40HC,,23.55,VIMT,VIMC DV,,,,17-Feb,NB2404S,
100,VNLU3099482,A56005510,20DC,,29.32,VIMT,VIMC DV,,,,17-Feb,NB2404S,
101,VNLU3093313,VIMC130056,20DC,,17.86,VIMT,VIMC DV,,,,17-Feb,NB2404S,
102,VNLU2090794,VMC130084,20DC,,29.43,VIMT,VIMC DV,,,,17-Feb,NB2404S,
103,VNLU2091110,VTM204791,20DC,,29.42,VIMT,VIMC DV,,,,17-Feb,NB2404S,
104,VNLU3092322,126907,20DC,,28.35,VIMT,VIMC DV,,,,17-Feb,NB2404S,
105,VNLU3094285,VMC130058,20DC,,29.62,VIMT,VIMC DV,,,,18-Feb,NB2404S,
106,SEKU6307180,VMC130070,40HC,,23.6,VIMT,VIMC DV,,,,18-Feb,NB2404S,
107,SEKU6301113,A56007760,40HC,,24.6,VIMT,VIMC DV,,,,18-Feb,NB2404S,
108,SEKU6304600,A28997046,40HC,,20.84,VIMT,VIMC DV,,,,18-Feb,NB2404S,
109,SEKU6570869,A28811788,40HC,,23.62,VIMT,VIMC DV,,,,18-Feb,NB2404S,
110,SEKU6563793,A56015201,40HC,,24.6,VIMT,VIMC DV,,,,18-Feb,NB2404S,
111,SEKU6463351,A56014837,40HC,,23.63,VIMT,VIMC DV,,,,18-Feb,NB2404S,
112,SEKU5753818,VMC130049,40HC,,20.7,VIMT,VIMC DV,,,,19-Feb,NB2404S,
113,SEKU5592821,VMC130044,40HC,,20.76,VIMT,VIMC DV,,,,19-Feb,NB2404S,
114,SEKU6463330,VMC130050,40HC,,20.81,VIMT,VIMC DV,,,,19-Feb,NB2404S,
115,BISU2841478,VMC130040,20DC,,29.61,VIMT,VIMC DV,,,,19-Feb,NB2404S,
116,BISU2834308,VMC130021,20DC,,30.12,VIMT,VIMC DV,,,,19-Feb,NB2404S,
117,SEKU5579820,VMC130075,40HC,,30.81,VIMT,VIMC DV,,,,19-Feb,NB2404S,
118,VIMU6300248,VMC130024,40HC,,15.2,VIMT,VIMC DV,,,,19-Feb,NB2404S,
119,SEKU5757304,VMC130062,40HC,,32.57,VIMT,VIMC DV,,,,19-Feb,NB2404S,
120,SEKU5579692,VMC130041,40HC,,23.59,VIMT,VIMC DV,,,,19-Feb,NB2404S,
