So Container,So lenh,Kich co noi bo,Kich co ISO,F/E,Hang KT,Vao/ Ra,Phuong an,Phuong tien,So xe / Sa lan,So romooc,Lich trinh tau,Chu hang,So BILL,So Booking,Hang hoa,Loai hang,So niem chi,So niem chi 1,So niem chi 2,Trong luong,Cang do,Cang dich,Vi tri bai,VGM,CLASS,UNNO,Nhiet do,Vent,Tinh trang Container,Cong vao,Xe vao cong,Container vao bai,Container ra bai,Xe ra cong,Cong ra,So ngay luu bai,Ghi chu,PTGN,DTTT,HTTT,So hoa don,So PTC,Hang noi/ ngoai,Cang chuyen,Cang giao nhan,TLHQ,Giao qua han lenh
VNLU3098280,2402010123,20DC,22G0,F,VLC,Ra,Lay Nguyen,Truck,51D04670,50RM01580,VIMC DIAMOND/2403S/2404N,CTY TNHH DV VT DAI THIEN PHAT,VC112401DANSGN059,,GACH MEN,General,A28680757,A28680757,,28,VNTTS,VNTTS,E-21-03-1,TRUE,,,,,,TTP-IN1,20/02/2024 12:01:35,1/2/2024 22:12,20/02/2024 12:19:40,20/02/2024 12:19:41,TTP-OUT2,20,"cong thanh,rach ron,Mop xung quanh,; Mop da san, ",Giao nhan Bai <=> Xe,103641252,Thu ngay,C24TTA5377,DR/2024/0004769,Hang noi,,,Hold,FALSE
SEKU6581190,2402190154,40HC,45G0,F,VLC,Ra,Lay Nguyen,Truck,62H02242,50R04150,VIMC DIAMOND/2404S/2405N,"HAN EXPRESS VIETNAM CO.,LTD",VC112401DANSGN096,,VAI MANH TIRE,General,VMC063928,VMC063928,,22.79,VNTTS,VNTTS,E-28-05-3,TRUE,,,,,,TTP-IN1,20/02/2024 08:49:41,9/2/2024 6:05,20/02/2024 09:06:22,20/02/2024 09:06:22,TTP-OUT2,12,",",Giao nhan Bai <=> Xe,0303482440-003,Thu ngay,C24TTA6522,DR/2024/0005800,Hang noi,,,Hold,FALSE
SEKU5763781,2402190154,40HC,45G0,F,VLC,Ra,Lay Nguyen,Truck,62H02242,51R00836,VIMC DIAMOND/2404S/2405N,"HAN EXPRESS VIETNAM CO.,LTD",VC112401DANSGN096,,VAI MANH TIRE,General,VMC063926,VMC063926,,23.44,VNTTS,VNTTS,D-28-05-1,TRUE,,,,,,TTP-IN1,20/02/2024 10:15:28,9/2/2024 6:44,20/02/2024 10:37:32,20/02/2024 10:37:33,TTP-OUT2,12,",",Giao nhan Bai <=> Xe,0303482440-003,Thu ngay,C24TTA6522,DR/2024/0005800,Hang noi,,,Hold,FALSE
VNLU3099780,2402180047,20DC,22G0,F,VLC,Ra,Lay Nguyen,Truck,61H09351,61R02798,VIMC DIAMOND/2404S/2405N,CTY CP VTAI HHAI QUOC TE VN,VC112401DANSGN099,,MEN BOT,General,801480,801480,,24,VNTTS,VNTTS,F-39-06-1,TRUE,,,,,,TTP-IN1,20/02/2024 10:34:38,9/2/2024 6:30,20/02/2024 11:03:24,20/02/2024 11:03:25,TTP-OUT2,12,"Mxq va da,muc nut san; Cong tay,rach ron,",Giao nhan Bai <=> Xe,VLC,Thu sau,,,Hang noi,,,Hold,FALSE
VNLU3095147,2402200034,20DC,22G0,F,VLC,Ra,Lay Nguyen,Truck,51C59060,51R11664,VIMC DIAMOND/2404S/2405N,CTY CP VTAI HHAI QUOC TE VN,VC112401DANSGN0992,,MEN BOT,General,801470,801470,,24,VNTTS,VNTTS,D-33-01-1,TRUE,,,,,,TTP-IN1,20/02/2024 12:36:06,9/2/2024 6:11,20/02/2024 13:02:00,20/02/2024 13:02:00,TTP-OUT2,12,"Mxq va da,muc nut san; Cong thanh, rach ron,",Giao nhan Bai <=> Xe,VLC,Thu sau,,,Hang noi,,,Hold,FALSE
SEKU6307852,2402200088,40HC,45G0,F,VLC,Ra,Lay Nguyen,Truck,51C94165,51R10982,VIMC DIAMOND/2405S/2406N,CONG TY TNHH DRAGON TEAM LOGISTICS,VC112402DANSGN016,,VAI MANH,General,HBA0256,HBA0256,,24.06,VNTTS,VNTTS,E-24-02-1,FALSE,,,,,,TTP-IN1,20/02/2024 12:57:37,15/02/2024 10:33:36,20/02/2024 13:13:18,20/02/2024 13:13:18,TTP-OUT2,6,"MXQ VA DA,; ",Giao nhan Bai <=> Xe,311681792,Thu ngay,C24TTA6582,DR/2024/0005853,Hang noi,,,Hold,FALSE
SEKU6570679,2402200108,40HC,45G0,F,VLC,Ra,Lay Nguyen,Truck,51D05174,51R17478,VIMC DIAMOND/2405S/2406N,CONG TY TNHH DRAGON TEAM LOGISTICS,VC112402DANSGN016,,VAI MANH,General,VMC067262,VMC067262,,23.46,VNTTS,VNTTS,F-46-04-2,FALSE,,,,,,TTP-IN1,20/02/2024 14:10:54,15/02/2024 11:26:18,20/02/2024 14:33:14,20/02/2024 14:33:15,TTP-OUT2,6,"mop xung quanh va da,; rach ron,",Giao nhan Bai <=> Xe,314023960,Thu ngay,C24TTA6594,DR/2024/0005858,Hang noi,,,Hold,FALSE
SEKU5755955,2402200070,40HC,45G0,E,VLC,Ra,Cap rong,Truck,29H75048,51R18291,STORAGE/CN/CX,CONG TY CO PHAN VAN TAI VA THUONG MAI VITRANIMEX,,VC032402SGNDAN085,EMPTY,Empty,,,,4,VNTTS,VNTTS,A-14-06-1,FALSE,,,,,,TTP-IN1,20/02/2024 11:19:32,15/02/2024 09:52:58,20/02/2024 11:37:44,20/02/2024 11:37:44,TTP-OUT2,6,"mop xung quanh va da, Rach ron, mop da dung; CAP VO SEKU XX Dong Y Nhan, Khong Khieu Nai, Seal :131398",Giao nhan Bai <=> Xe,100102735,Thu ngay,C24TTA6573,DR/2024/0005844,Hang noi,,,Hold,FALSE
VNLU2093556,2402200042,20GP,22G0,E,VLC,Ra,Cap rong,Truck,51D13867,51R19732,STORAGE/CN/CX,CONG TY TNHH GIAO NHAN HH VIET CONG,,VC032402SGNDAN093,EMPTY,Empty,,,,2.3,VNTTS,VNTTS,K-17-01-1,TRUE,,,,,,TTP-IN1,20/02/2024 07:56:00,1/2/2024 18:39,20/02/2024 08:22:26,20/02/2024 08:22:26,TTP-OUT2,20,"Mop xung quanh va da,cong thanh ,cong tay rron ,cont cu ri set,troc muc doi xuoc san,ho nep san,mop da day; CAP VNLU/BISU Dong Y Nhan, Khong Khieu Nai, Seal :131210",Giao nhan Bai <=> Xe,VIETCONG,Thu sau,,,Hang noi,,,Hold,FALSE
VNLU2090840,2402200052,20GP,22G0,E,VLC,Ra,Cap rong,Truck,50H03767,15R12704,STORAGE/CN/CX,CONG TY TNHH GIAO NHAN HH VIET CONG,,VC032402SGNDAN093,EMPTY,Empty,,,,2.3,VNTTS,VNTTS,K-17-02-1,TRUE,,,,,,TTP-IN1,20/02/2024 09:06:36,1/2/2024 20:24,20/02/2024 09:35:19,20/02/2024 09:35:19,TTP-OUT2,20,"cong thanh,rach ron,Mop xung quanh,; CAP VNLU/ BISU Dong Y Nhan, Khong Khieu Nai, Seal :131400",Giao nhan Bai <=> Xe,VIETCONG,Thu sau,,,Hang noi,,,Hold,FALSE
