Hang khai thac,Container,Kich co,Kich co ISO,Ghi chu,Ghi chu noi bo,Tinh trang vo,Nam san xuat,So ngay luu bai,Lich trinh tau,Ten tau,Chuyen nhap,Chuyen xuat,Huong,Trang thai,F/E,Phuong an,Vi tri tren bai,Cang xep,Cang do,Cang dich,Ngay nhap bai,Ngay ra bai,Loai Hang,Hang Hoa,Trong Luong,Nhom Trong Luong,VGM,Huy,Nhiet do,CLASS,UNNO,Chu hang,So Booking,So Van Don,So niem chi,So niem chi 1,So niem chi 2,Thanh Ly Hai Quan,So to khai,Hang noi/ ngoai,Cang chuyen,Cang giao nhan,So lenh,Thong gio,DVT thong gio
VLC,SEKU5590726,40HC,45G0,QUA CAN-HA KET HOP .,,,,1,BDFO/2024/0002,BIEN DONG FORTUNE,2402S,2402N,Export,Stacking,F,Ha bai,E-02-06-1,VNTTS,VNHPH,VNHPH,20/02/2024 13:18:52,,General,MUT XOP,5.62,L,TRUE,FALSE,,,,CONG TY TNHH QUANTERM LOGISTICS VIETNAM,VC032402SGNHPH128,,VSICO20217077,,,Hold,,Hang noi,,,2402200091,,
VLC,TTNU9686780,40HC,45G0,"QUA CAN Mop xung quanh va da,Cu muc ri set,",,B,,2,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,B-42-06-2,VNTTS,VNHPH,VNHPH,19/02/2024 15:25:07,,General,KET BIA,8.13,L,TRUE,FALSE,,,,VIETFRACHT DAN/CONG TY TNHH VAN TAI BIEN DAI QUANG MINH/VINH THINH,VC032402SGNHPH088,,19572380,,,Hold,,Hang noi,,,2402190079,,
VLC,SEKU5595965,40HC,45G0,"QUA CAN - KET HOP ,",,,,4,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,D-02-05-1,VNTTS,VNHPH,VNHPH,17/02/2024 18:17:59,,General,GIAY CUON,30.86,H,TRUE,FALSE,,,,CONG TY CO PHAN VAN TAI HANG HAI QUOC TE VN(VIMT),VC032402SGNHPH096,,VMC121759,,,Hold,,Hang noi,,,2402170163,,
VLC,SEKU6583995,40HC,45G0,"QUA CAN, HA KET HOP ,",,,,4,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,D-02-05-2,VNTTS,VNHPH,VNHPH,17/02/2024 20:43:09,,General,GIAY CUON,31.45,H,TRUE,FALSE,,,,CONG TY CO PHAN VAN TAI HANG HAI QUOC TE VN ( VIMT ),VC032402SGNHPH096,,839142,,,Hold,,Hang noi,,,2402170188,,
VLC,SEKU5579497,40HC,45G0,"QUA CAN, KET HOP ,",,,,4,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,D-02-05-3,VNTTS,VNHPH,VNHPH,17/02/2024 23:52:24,,General,GIAY,30.5,H,TRUE,FALSE,,,,CTY CP VT HH QUOC TE VIET NAM (VIMT),VC032402SGNHPH096,,NH-30403,,,Hold,,Hang noi,,,2402170226,,
VLC,SEKU6584625,40HC,45G0,"QUA CAN, HA KET HOP ,",,,,3,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,B-04-06-1,VNTTS,VNHPH,VNHPH,18/02/2024 06:14:30,,General,GIAY,30.57,H,TRUE,FALSE,,,,CONG TY CO PHAN VAN TAI HANG HAI QUOC TE VN ( VIMT ),VC032402SGNHPH096,,2024-0182,,,Hold,,Hang noi,,,2402180029,,
VLC,SEKU6305823,40HC,45G0,QUA CAN Mop xung quanh va da,,,,3,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,B-04-06-2,VNTTS,VNHPH,VNHPH,18/02/2024 16:49:51,,General,GIAY CUON,31.11,H,TRUE,FALSE,,,,CONG TY CO PHAN VAN TAI HANG HAI QUOC TE VN (VIMT),VC032402SGNHPH096,,A29003468,,,Hold,,Hang noi,,,2402180062,,
VLC,SEKU6581117,40HC,45G0,QUA CAN -KET HOP .,,,,3,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,B-04-06-3,VNTTS,VNHPH,VNHPH,18/02/2024 18:10:09,,General,GIAY,28.81,H,TRUE,FALSE,,,,CONG TY CO PHAN VAN TAI HANG HAI QUOC TE VN ( VIMT),VC032402SGNHPH096,,19911849,,,Hold,,Hang noi,,,2402180074,,
VLC,SEKU6581159,40HC,45G0,"QUA CAN, HA KET HOP Mop xung quanh",,,,3,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,B-04-05-1,VNTTS,VNHPH,VNHPH,18/02/2024 21:27:13,,General,GIAY CUON,27.4,H,TRUE,FALSE,,,,CONG TY CO PHAN VAN TAI HANG HAI QUOC TE VN (VIMT),VC032402SGNHPH096,,802982,,,Hold,,Hang noi,,,2402180088,,
VLC,SEKU6571227,40HC,45G0,QUA CAN - KET HOP Mop xung quanh,,,,2,BDNA/2024/0004,BIENDONG NAVIGATOR,2404S,2404N,Export,Stacking,F,Ha bai,B-04-05-2,VNTTS,VNHPH,VNHPH,19/02/2024 00:44:10,,General,GIAY,29.86,H,TRUE,FALSE,,,,CTY CP VT HH QT VN(VIMT),VC032402SGNHPH096,,NH30405,,,Hold,,Hang noi,,,2402190004,,
